	accuracy	precision	recall	f1
0	0.3984375	0.35964912	0.9111111	0.5157232
1	0.3984375	0.37068966	0.9148936	0.5276074
2	0.3125	0.2982456	0.8095238	0.4358974
3	0.3828125	0.3652174	0.875	0.5153374
4	0.359375	0.31896552	0.925	0.47435898
5	0.2734375	0.20869565	0.9230769	0.34042555
6	0.390625	0.3482143	0.8863636	0.5
7	0.25	0.25	0.8333333	0.3846154
8	0.296875	0.29565218	0.7906977	0.43037978
9	0.328125	0.30172414	0.875	0.44871792
10	0.3203125	0.28448275	0.8918919	0.43137252
11	0.3125	0.28695652	0.84615386	0.42857143
12	0.3125	0.3043478	0.81395346	0.44303796
13	0.328125	0.3277311	0.8666667	0.47560975
14	0.3046875	0.25225225	0.8235294	0.3862069
15	0.296875	0.25225225	0.8	0.38356164
16	0.390625	0.35042736	0.95348835	0.5125
17	0.3203125	0.29166666	0.9459459	0.44585982
18	0.3203125	0.29411766	0.92105263	0.44585988
19	0.3359375	0.2972973	0.825	0.4370861
20	0.2734375	0.25619835	0.9117647	0.39999998
21	0.28125	0.26086956	0.8108108	0.39473686
22	0.390625	0.33913043	0.9512195	0.5
23	0.3828125	0.36206895	0.89361703	0.51533735
24	0.3671875	0.34210527	0.8666667	0.49056605
25	0.3359375	0.31666666	0.9268293	0.47204965
26	0.328125	0.30701753	0.8333333	0.44871792
27	0.3203125	0.30508474	0.8780488	0.4528302
28	0.328125	0.3277311	0.8666667	0.47560975
29	0.296875	0.25862068	0.88235295	0.4
30	0.296875	0.26785713	0.7894737	0.39999998
31	0.3828125	0.38842976	0.90384614	0.5433526
32	0.3828125	0.3508772	0.8888889	0.5031446
33	0.28125	0.27586207	0.8	0.41025642
34	0.3515625	0.3119266	0.8095238	0.45033112
35	0.375	0.33043477	0.9268293	0.4871795
36	0.296875	0.26495728	0.8857143	0.40789476
37	0.359375	0.3448276	0.8695652	0.49382716
38	0.359375	0.36885247	0.9	0.5232558
39	0.3046875	0.2521739	0.90625	0.3945578
40	0.3515625	0.2857143	0.9142857	0.43537417
41	0.3203125	0.30172414	0.85365856	0.4458599
42	0.3125	0.28318584	0.82051283	0.42105263
43	0.296875	0.26890758	0.9142857	0.41558442
44	0.3125	0.2882883	0.7804878	0.4210526
45	0.359375	0.33913043	0.8666667	0.4875
46	0.3359375	0.31932774	0.9047619	0.4720497
47	0.328125	0.31092438	0.902439	0.4625
48	0.2734375	0.26612905	0.94285715	0.41509435
49	0.375	0.32142857	0.9	0.4736842
