	loss	accuracy	precision	recall	f1
0	39.360558	0.4921875	0.015625	0.33333334	0.029850746
1	41.455845	0.546875	0.0	0.0	0
2	40.239674	0.5234375	0.01724138	0.2	0.031746034
3	40.622063	0.5703125	0.05357143	0.6	0.098360665
4	39.02244	0.4921875	0.015625	0.33333334	0.029850746
5	39.516327	0.5078125	0.048387095	0.42857143	0.08695652
6	38.99204	0.46875	0.015384615	0.2	0.028571429
7	38.13335	0.484375	0.04477612	0.6	0.08333333
8	38.160385	0.453125	0.015151516	0.16666667	0.02777778
9	38.53481	0.4765625	0.015151516	0.33333334	0.028985508
10	40.23621	0.5	0.016666668	0.16666667	0.030303033
11	39.16678	0.5078125	0.016393442	0.25	0.030769227
12	40.81578	0.59375	0.0	0.0	0
13	39.044277	0.4921875	0.016129032	0.2	0.029850746
14	37.696735	0.4453125	0.014084507	0.5	0.02739726
15	37.81727	0.4609375	0.042857144	0.6	0.08
16	40.048782	0.5703125	0.018181818	0.5	0.03508772
17	39.69982	0.546875	0.05172414	0.5	0.09375
18	39.740242	0.59375	0.055555556	0.75	0.10344828
19	39.68728	0.53125	0.0	0.0	0
20	38.98971	0.5078125	0.032258064	0.4	0.05970149
21	39.93731	0.5703125	0.0	0.0	0
22	39.59865	0.546875	0.03508772	0.4	0.06451613
23	37.387306	0.4765625	0.028985508	1.0	0.05633803
24	38.86578	0.5234375	0.03508772	0.25	0.061538465
25	38.797993	0.5078125	0.0	0.0	0
26	38.94668	0.5234375	0.048387095	0.6	0.08955223
27	38.534973	0.46875	0.046875	0.3	0.081081085
28	38.74782	0.5078125	0.0	0.0	0
29	38.968708	0.5390625	0.01754386	0.25	0.032786887
30	39.767025	0.546875	0.0	0.0	0
31	38.475685	0.484375	0.0	0.0	0
32	39.619404	0.5234375	0.0	0.0	0
33	41.2173	0.59375	0.039215688	0.4	0.071428575
34	38.728474	0.5625	0.05172414	0.75	0.0967742
35	38.879997	0.5390625	0.017857144	0.2	0.032786887
36	39.121708	0.5546875	0.05357143	0.42857143	0.0952381
37	38.419765	0.4921875	0.0	0.0	0
38	39.62534	0.5234375	0.0	0.0	0
39	40.195274	0.6015625	0.039215688	0.5	0.07272728
40	39.07797	0.5390625	0.0	0.0	0
41	39.003918	0.5625	0.05263158	0.6	0.096774206
42	37.90239	0.4921875	0.030303031	0.6666667	0.057971016
43	37.8217	0.4765625	0.046153847	0.375	0.08219179
44	39.09685	0.5	0.033898305	0.22222222	0.058823526
45	37.063927	0.4609375	0.014705882	0.33333334	0.028169014
46	39.71691	0.546875	0.01754386	0.33333334	0.033333335
47	38.245136	0.5078125	0.015873017	0.5	0.030769233
48	37.713432	0.4921875	0.015625	0.33333334	0.029850746
49	35.77182	0.421875	0.04054054	0.5	0.075
50	38.8455	0.5234375	0.0	0.0	0
51	38.880634	0.4921875	0.01724138	0.11111111	0.029850746
52	39.4172	0.5078125	0.04918033	0.375	0.08695652
53	38.178303	0.4765625	0.015384615	0.25	0.028985508
54	39.76245	0.6015625	0.056603774	0.75	0.10526316
55	39.181225	0.5078125	0.016949153	0.16666667	0.03076923
56	37.779427	0.4765625	0.029411765	0.6666667	0.056338027
57	38.83342	0.5	0.033333335	0.25	0.058823533
58	40.260925	0.5859375	0.01923077	0.33333334	0.036363635
59	37.603146	0.484375	0.015625	0.25	0.029411765
60	37.651276	0.4609375	0.015384615	0.16666667	0.028169014
61	37.850197	0.46875	0.015873017	0.14285715	0.02857143
62	39.566193	0.5859375	0.03773585	0.5	0.07017545
63	37.73382	0.46875	0.029411765	0.5	0.055555552
64	38.18332	0.515625	0.0	0	0
65	39.30811	0.5546875	0.035714287	0.4	0.065573774
66	38.345684	0.5625	0.06779661	0.8	0.125
67	38.44956	0.5234375	0.08196721	0.5	0.14084506
68	38.027214	0.484375	0.016129032	0.16666667	0.029411765
69	40.049232	0.5625	0.057692308	0.3	0.09677419
70	38.147625	0.515625	0.032258064	0.5	0.060606062
71	39.35468	0.5546875	0.018518519	0.2	0.033898305
72	38.591866	0.5078125	0.016949153	0.16666667	0.03076923
73	39.351925	0.5546875	0.0	0.0	0
74	40.728878	0.578125	0.018867925	0.33333334	0.035714284
0	35.15431	0.9609375	0	0.0	0
1	34.568363	0.9609375	0	0.0	0
2	34.546642	0.9609375	0	0.0	0
3	37.85165	0.9296875	0	0.0	0
4	33.32729	0.953125	0	0.0	0
5	36.709568	0.9765625	0	0.0	0
6	34.792152	0.96875	0	0.0	0
7	33.8895	0.9921875	0	0.0	0
8	35.521446	0.984375	0	0.0	0
9	36.076412	0.96875	0	0.0	0
10	35.647057	0.9765625	0	0.0	0
11	34.01644	0.984375	0	0.0	0
12	34.964832	0.9375	0	0.0	0
13	34.68312	0.96875	0	0.0	0
14	35.76102	0.984375	0	0.0	0
15	34.062195	0.9765625	0	0.0	0
16	32.271324	0.9765625	0	0.0	0
17	33.991844	0.953125	0	0.0	0
18	34.646114	0.984375	0	0.0	0
19	34.017147	0.9453125	0	0.0	0
20	36.93316	0.96875	0	0.0	0
21	33.206547	0.96875	0	0.0	0
22	37.106247	0.9765625	0	0.0	0
23	33.53248	0.9765625	0	0.0	0
24	33.338627	0.9765625	0	0.0	0
25	34.303062	0.984375	0	0.0	0
26	37.91416	0.9453125	0	0.0	0
27	36.60504	0.9609375	0	0.0	0
28	35.099445	0.9609375	0	0.0	0
29	34.16467	0.9453125	0	0.0	0
30	36.15439	0.953125	0	0.0	0
31	32.66121	0.9453125	0	0.0	0
32	32.495144	0.9765625	0	0.0	0
33	36.101063	0.9921875	0	0.0	0
34	34.63576	0.921875	0	0.0	0
35	35.58248	0.9609375	0	0.0	0
36	33.33435	0.9375	0	0.0	0
37	31.86206	0.984375	0	0.0	0
38	35.01972	0.984375	0	0.0	0
39	34.696636	1.0	0	0	0
40	35.90626	0.953125	0	0.0	0
41	33.74393	0.984375	0	0.0	0
42	32.23543	0.9921875	0	0.0	0
43	34.320675	0.953125	0	0.0	0
44	36.17717	0.9609375	0	0.0	0
45	36.49007	0.9765625	0	0.0	0
46	32.57431	0.953125	0	0.0	0
47	33.941875	0.9765625	0	0.0	0
48	34.0439	0.9375	0	0.0	0
49	33.000557	0.9453125	0	0.0	0
50	34.08708	0.9375	0	0.0	0
51	36.64452	0.9453125	0	0.0	0
52	31.784742	0.9453125	0	0.0	0
53	36.15393	0.96875	0	0.0	0
54	34.89173	0.953125	0	0.0	0
55	33.829636	0.953125	0	0.0	0
56	34.47324	0.953125	0	0.0	0
57	32.65423	0.984375	0	0.0	0
58	33.60551	0.984375	0	0.0	0
59	32.6024	0.96875	0	0.0	0
60	34.69751	0.953125	0	0.0	0
61	32.947636	0.96875	0	0.0	0
62	32.430283	0.984375	0	0.0	0
63	37.270702	0.9609375	0	0.0	0
64	34.657986	0.9140625	0	0.0	0
65	31.850798	0.96875	0	0.0	0
66	33.68398	0.96875	0	0.0	0
67	33.41753	0.921875	0	0.0	0
68	35.999332	0.9765625	0	0.0	0
69	34.63804	0.984375	0	0.0	0
70	33.539074	0.9453125	0	0.0	0
71	34.42649	0.9765625	0	0.0	0
72	34.723114	0.953125	0	0.0	0
73	35.074036	0.9765625	0	0.0	0
74	32.110714	0.96875	0	0.0	0
0	39.364994	0.5234375	0.035714287	0.22222222	0.061538465
1	37.81534	0.4765625	0.0	0	0
2	39.478683	0.59375	0.057692308	0.5	0.10344828
3	39.93386	0.5625	0.0	0.0	0
4	36.604034	0.46875	0.04477612	0.42857143	0.081081085
5	37.031483	0.4765625	0.04477612	0.5	0.08219178
6	37.884914	0.4921875	0.016393442	0.16666667	0.029850746
7	37.174316	0.4453125	0.014492754	0.25	0.027397262
8	37.678047	0.5078125	0.03125	0.6666667	0.05970149
9	36.793797	0.4609375	0.0	0.0	0
10	37.755688	0.5234375	0.016666668	0.33333334	0.031746034
11	38.468113	0.53125	0.033898305	0.4	0.0625
12	38.592445	0.5546875	0.050847456	0.75	0.09523809
13	39.3591	0.546875	0.0	0.0	0
14	36.775917	0.4609375	0.029850746	0.33333334	0.054794516
15	39.094784	0.5390625	0.017857144	0.2	0.032786887
16	38.474983	0.546875	0.050847456	0.6	0.09375
17	38.20089	0.53125	0.016666668	0.5	0.032258067
18	34.443993	0.390625	0.03846154	0.5	0.07142857
19	39.537445	0.6015625	0.05882353	0.5	0.10526316
20	37.25403	0.484375	0.015384615	0.33333334	0.029411765
21	37.73453	0.5078125	0.032258064	0.4	0.05970149
22	39.679893	0.5859375	0.03773585	0.5	0.07017545
23	37.01329	0.515625	0.046875	0.75	0.0882353
24	38.746624	0.546875	0.0	0.0	0
25	38.436455	0.5625	0.05263158	0.6	0.096774206
26	37.877205	0.4765625	0.03076923	0.33333334	0.056338027
27	36.552628	0.453125	0.0	0.0	0
28	37.716084	0.515625	0.016393442	0.33333334	0.031249998
29	41.556866	0.6484375	0.0	0.0	0
30	39.511013	0.546875	0.0	0.0	0
31	39.2189	0.546875	0.017857144	0.25	0.033333335
32	37.30897	0.5	0.016393442	0.2	0.030303027
33	36.5677	0.484375	0.030303031	0.5	0.05714286
34	39.568245	0.5703125	0.02	0.14285715	0.03508772
35	38.86929	0.5390625	0.018181818	0.16666667	0.032786883
36	38.924637	0.546875	0.0	0.0	0
37	36.840473	0.5	0.045454547	0.75	0.08571429
38	38.45616	0.515625	0.0	0.0	0
39	37.788567	0.5390625	0.016949153	0.5	0.032786883
40	36.65977	0.4765625	0.0	0.0	0
41	36.59256	0.484375	0.04477612	0.6	0.08333333
42	36.00142	0.4453125	0.014492754	0.25	0.027397262
43	36.428795	0.4765625	0.04477612	0.5	0.08219178
44	37.287304	0.4921875	0.0	0.0	0
45	39.332375	0.546875	0.03773585	0.22222222	0.06451613
46	37.049435	0.4921875	0.03125	0.4	0.057971016
47	36.87011	0.4609375	0.03076923	0.25	0.05479452
48	36.478546	0.46875	0.028985508	0.6666667	0.05555556
49	36.606518	0.4609375	0.015151516	0.2	0.028169015
50	36.94157	0.46875	0.03076923	0.2857143	0.055555556
51	37.266598	0.4921875	0.016129032	0.2	0.029850746
52	36.188454	0.484375	0.029850746	0.6666667	0.057142857
53	37.187862	0.4921875	0.015873017	0.25	0.029850747
54	38.030457	0.5390625	0.0	0.0	0
55	37.753754	0.53125	0.01724138	0.25	0.032258064
56	34.49577	0.4140625	0.013157895	1.0	0.025974028
57	38.088722	0.53125	0.033898305	0.4	0.0625
58	37.664333	0.5	0.033333335	0.25	0.058823533
59	36.938583	0.484375	0.0	0.0	0
60	39.518135	0.546875	0.0	0.0	0
61	39.571693	0.6015625	0.0	0.0	0
62	39.23493	0.5625	0.0	0.0	0
63	37.687965	0.5390625	0.0	0	0
64	37.536446	0.4921875	0.016393442	0.16666667	0.029850746
65	39.090317	0.578125	0.0	0.0	0
