	accuracy	precision	recall	f1
0	0.375	0.33333334	0.6666667	0.44444448
1	0.4375	0.11111111	0.5	0.18181819
2	0.375	0.30769232	0.8	0.44444445
3	0.4375	0.33333334	0.8	0.47058827
4	0.3125	0.36363637	0.5	0.42105263
5	0.1875	0.2	0.75	0.3157895
6	0.25	0.14285715	1.0	0.25
7	0.125	0.09090909	0.2	0.125
8	0.375	0.33333334	0.6666667	0.44444448
9	0.375	0.5714286	0.36363637	0.44444445
10	0.5625	0.33333334	0.4	0.36363637
11	0.3125	0.30769232	0.6666667	0.42105263
12	0.1875	0.1	0.2	0.13333334
13	0.3125	0.3	0.42857143	0.35294122
14	0.375	0.18181819	0.6666667	0.2857143
15	0.5625	0.5	0.71428573	0.5882353
16	0.1875	0.1	0.2	0.13333334
17	0.375	0.25	0.75	0.375
18	0.3125	0.25	0.6	0.3529412
19	0.3125	0.33333334	0.375	0.35294116
20	0.3125	0.11111111	0.25	0.15384616
21	0.4375	0.36363637	0.6666667	0.47058827
22	0.125	0.07692308	0.33333334	0.12500001
23	0.25	0.09090909	0.33333334	0.14285715
24	0.4375	0.18181819	1.0	0.3076923
25	0.1875	0.0	0.0	nan
26	0.3125	0.30769232	0.6666667	0.42105263
27	0.25	0.25	0.5	0.33333334
28	0.3125	0.27272728	0.5	0.3529412
29	0.25	0.0	0.0	nan
30	0.25	0.22222222	0.2857143	0.25
31	0.375	0.11111111	0.33333334	0.16666667
32	0.3125	0.3846154	0.625	0.47619048
33	0.25	0.16666667	0.5	0.25
34	0.3125	0.09090909	0.5	0.15384614
35	0.3125	0.16666667	0.6666667	0.26666668
36	0.375	0.23076923	1.0	0.375
37	0.25	0.18181819	0.4	0.25
38	0.125	0.0	0.0	nan
39	0.25	0.1	0.25	0.14285715
40	0.4375	0.36363637	0.6666667	0.47058827
41	0.375	0.4	0.5	0.44444448
42	0.1875	0.09090909	0.25	0.13333334
43	0.375	0.41666666	0.625	0.5
44	0.1875	0.15384616	0.5	0.23529413
45	0.25	0.4	0.4	0.40000004
46	0.3125	0.18181819	0.5	0.26666668
47	0.25	0.14285715	1.0	0.25
48	0.5	0.16666667	0.25	0.2
49	0.375	0.2	0.5	0.2857143
