	accuracy	precision	recall	f1
0	0.375	0.33333334	0.8181818	0.47368422
1	0.5	0.4074074	1.0	0.57894737
2	0.34375	0.33333334	0.75	0.46153843
3	0.28125	0.23076923	0.6666667	0.34285715
4	0.1875	0.125	0.375	0.1875
5	0.40625	0.4	0.71428573	0.51282054
6	0.4375	0.37931034	1.0	0.55
7	0.3125	0.2962963	0.72727275	0.4210526
8	0.3125	0.3448276	0.7692308	0.47619048
9	0.25	0.1923077	0.625	0.29411766
10	0.34375	0.3448276	0.8333333	0.4878049
11	0.21875	0.1724138	0.8333333	0.2857143
12	0.40625	0.3846154	0.7692308	0.51282054
13	0.375	0.2962963	0.8888889	0.44444442
14	0.3125	0.22222222	0.85714287	0.35294116
15	0.1875	0.14285715	0.6666667	0.23529413
16	0.375	0.28	0.7777778	0.41176474
17	0.40625	0.37037036	0.8333333	0.51282054
18	0.28125	0.2857143	0.72727275	0.41025645
19	0.375	0.32142857	0.9	0.4736842
20	0.4375	0.44444445	0.8	0.57142854
21	0.34375	0.33333334	0.75	0.46153843
22	0.28125	0.2173913	0.5	0.30303028
23	0.375	0.36666667	0.9166667	0.52380955
24	0.21875	0.18518518	0.625	0.28571427
25	0.5625	0.5	0.9285714	0.65
26	0.28125	0.2857143	0.72727275	0.41025645
27	0.28125	0.2413793	0.875	0.3783784
28	0.3125	0.32142857	0.75	0.45000002
29	0.34375	0.35714287	0.7692308	0.4878049
30	0.40625	0.29166666	0.7777778	0.42424244
31	0.34375	0.32142857	0.8181818	0.46153846
32	0.34375	0.25925925	0.875	0.4
33	0.34375	0.33333334	0.90909094	0.4878049
34	0.34375	0.25	0.6666667	0.36363637
35	0.1875	0.17857143	0.625	0.2777778
36	0.40625	0.39285713	0.84615386	0.53658533
37	0.3125	0.29032257	1.0	0.45
38	0.34375	0.33333334	0.90909094	0.4878049
39	0.375	0.33333334	1.0	0.5
40	0.3125	0.26666668	1.0	0.42105266
41	0.46875	0.4814815	0.8125	0.60465115
42	0.1875	0.08695652	0.2857143	0.13333334
43	0.40625	0.37037036	0.8333333	0.51282054
44	0.28125	0.3	0.8181818	0.4390244
45	0.40625	0.375	0.6923077	0.4864865
46	0.4375	0.3846154	0.8333333	0.5263158
47	0.5	0.51724136	0.88235295	0.6521739
48	0.46875	0.37037036	1.0	0.5405405
49	0.3125	0.29166666	0.5833333	0.38888887
