	accuracy	precision	recall	f1
208	1.0	inf	inf	inf
209	1.0	inf	inf	inf
210	1.0	inf	inf	inf
211	1.0	inf	inf	inf
212	1.0	inf	inf	inf
213	1.0	inf	inf	inf
214	1.0	inf	inf	inf
215	1.0	inf	inf	inf
216	1.0	inf	inf	inf
217	1.0	inf	inf	inf
218	1.0	inf	inf	inf
219	0.875	inf	0.0	inf
220	1.0	inf	inf	inf
221	1.0	inf	inf	inf
222	1.0	inf	inf	inf
223	1.0	inf	inf	inf
224	1.0	inf	inf	inf
225	1.0	inf	inf	inf
226	1.0	inf	inf	inf
227	1.0	inf	inf	inf
228	1.0	inf	inf	inf
229	1.0	inf	inf	inf
230	1.0	inf	inf	inf
231	0.875	inf	0.0	inf
232	1.0	inf	inf	inf
233	1.0	inf	inf	inf
234	1.0	inf	inf	inf
235	0.75	inf	0.0	inf
236	1.0	inf	inf	inf
237	1.0	inf	inf	inf
238	0.875	0.0	inf	inf
239	1.0	inf	inf	inf
240	0.875	inf	0.0	inf
241	1.0	inf	inf	inf
242	1.0	inf	inf	inf
243	0.875	inf	0.0	inf
244	1.0	inf	inf	inf
245	1.0	inf	inf	inf
246	1.0	inf	inf	inf
247	0.875	inf	0.0	inf
248	1.0	inf	inf	inf
249	0.875	inf	0.0	inf
250	1.0	inf	inf	inf
251	1.0	inf	inf	inf
252	1.0	inf	inf	inf
253	1.0	inf	inf	inf
254	0.875	inf	0.0	inf
255	1.0	inf	inf	inf
256	1.0	inf	inf	inf
257	1.0	inf	inf	inf
258	1.0	inf	inf	inf
259	0.75	inf	0.0	inf
260	1.0	inf	inf	inf
261	1.0	inf	inf	inf
262	0.875	inf	0.0	inf
263	0.875	inf	0.0	inf
264	1.0	inf	inf	inf
265	1.0	inf	inf	inf
266	1.0	inf	inf	inf
267	0.875	inf	0.0	inf
268	1.0	inf	inf	inf
269	1.0	inf	inf	inf
270	1.0	inf	inf	inf
271	1.0	inf	inf	inf
272	1.0	inf	inf	inf
273	1.0	inf	inf	inf
274	1.0	inf	inf	inf
275	0.875	inf	0.0	inf
276	0.875	inf	0.0	inf
277	1.0	inf	inf	inf
278	1.0	inf	inf	inf
279	1.0	inf	inf	inf
280	0.875	inf	0.0	inf
281	0.875	inf	0.0	inf
282	0.625	inf	0.0	inf
283	1.0	inf	inf	inf
284	1.0	inf	inf	inf
285	0.875	inf	0.0	inf
286	0.875	inf	0.0	inf
287	0.75	inf	0.0	inf
288	1.0	inf	inf	inf
289	1.0	inf	inf	inf
290	0.875	inf	0.0	inf
291	1.0	inf	inf	inf
292	0.875	inf	0.0	inf
293	1.0	inf	inf	inf
294	1.0	inf	inf	inf
295	1.0	inf	inf	inf
296	0.875	inf	0.0	inf
297	1.0	inf	inf	inf
298	0.875	inf	0.0	inf
299	1.0	inf	inf	inf
300	0.75	inf	0.0	inf
301	1.0	inf	inf	inf
302	1.0	inf	inf	inf
303	1.0	inf	inf	inf
304	0.875	inf	0.0	inf
305	1.0	inf	inf	inf
306	1.0	inf	inf	inf
307	1.0	inf	inf	inf
308	1.0	inf	inf	inf
309	1.0	inf	inf	inf
310	1.0	inf	inf	inf
311	1.0	inf	inf	inf
312	1.0	inf	inf	inf
313	1.0	inf	inf	inf
314	1.0	inf	inf	inf
315	1.0	inf	inf	inf
316	0.75	inf	0.0	inf
317	1.0	inf	inf	inf
318	1.0	inf	inf	inf
319	1.0	inf	inf	inf
320	1.0	inf	inf	inf
321	0.875	inf	0.0	inf
322	1.0	inf	inf	inf
323	1.0	inf	inf	inf
324	1.0	inf	inf	inf
325	1.0	inf	inf	inf
326	1.0	inf	inf	inf
327	1.0	inf	inf	inf
328	1.0	inf	inf	inf
329	1.0	inf	inf	inf
330	1.0	inf	inf	inf
331	1.0	inf	inf	inf
332	1.0	inf	inf	inf
333	1.0	inf	inf	inf
334	1.0	inf	inf	inf
335	1.0	inf	inf	inf
336	1.0	inf	inf	inf
337	0.875	inf	0.0	inf
338	1.0	inf	inf	inf
339	1.0	inf	inf	inf
340	1.0	inf	inf	inf
341	0.75	inf	0.0	inf
342	1.0	inf	inf	inf
343	1.0	inf	inf	inf
344	1.0	inf	inf	inf
345	1.0	inf	inf	inf
346	1.0	inf	inf	inf
347	0.875	inf	0.0	inf
348	1.0	inf	inf	inf
349	1.0	inf	inf	inf
350	1.0	inf	inf	inf
351	0.875	inf	0.0	inf
352	1.0	inf	inf	inf
353	1.0	inf	inf	inf
354	1.0	inf	inf	inf
