	accuracy	precision	recall	f1
0	0.390625	0.36206895	0.9130435	0.5185185
1	0.37109375	0.32618025	0.95	0.48562297
2	0.37109375	0.32894737	0.90361446	0.48231512
3	0.390625	0.3153153	0.9459459	0.472973
4	0.34375	0.29130435	0.9305556	0.44370863
5	0.390625	0.317757	0.8717949	0.46575344
6	0.3359375	0.28695652	0.9166667	0.43708614
7	0.359375	0.2920354	0.94285715	0.44594592
8	0.35546875	0.27149323	0.9375	0.42105263
9	0.38671875	0.33486238	0.85882354	0.4818482
10	0.3984375	0.34529147	0.90588236	0.49999994
11	0.3515625	0.34042552	0.8791209	0.49079752
12	0.34765625	0.3187773	0.86904764	0.46645364
13	0.3359375	0.3004292	0.90909094	0.45161292
14	0.36328125	0.3105023	0.85	0.4548495
15	0.3671875	0.31651375	0.8414634	0.46
16	0.3828125	0.32444444	0.9240506	0.4802631
17	0.34765625	0.29515418	0.9054054	0.44518274
18	0.40234375	0.34801763	0.9404762	0.5080386
19	0.421875	0.38197425	0.9569892	0.5460123
20	0.390625	0.36401674	0.95604396	0.5272727
21	0.375	0.33333334	0.9047619	0.4871795
22	0.43359375	0.39207047	0.9270833	0.55108356
23	0.3359375	0.3073593	0.8765432	0.4551282
24	0.3515625	0.29464287	0.8918919	0.44295302
25	0.3828125	0.3215859	0.9480519	0.4802631
26	0.39453125	0.34893617	0.97619045	0.5141066
27	0.36328125	0.30603448	0.9726027	0.4655738
28	0.37109375	0.32478634	0.96202534	0.485623
29	0.36328125	0.30454546	0.8701299	0.45117846
30	0.37890625	0.3215859	0.9358974	0.47868857
31	0.3203125	0.2943723	0.8607595	0.43870968
32	0.33984375	0.28070176	0.92753625	0.43097642
33	0.3515625	0.29777777	0.8933333	0.4466667
34	0.35546875	0.29147983	0.9027778	0.44067797
35	0.33984375	0.31092438	0.93670887	0.466877
36	0.35546875	0.3275862	0.89411765	0.4794953
37	0.40625	0.375	0.9255319	0.53374237
38	0.38671875	0.32444444	0.9358974	0.48184818
39	0.375	0.34468085	0.9310345	0.5031056
40	0.39453125	0.3508772	0.9195402	0.5079365
41	0.32421875	0.27631578	0.8873239	0.4214047
42	0.34375	0.3	0.90789473	0.4509804
43	0.3125	0.28936172	0.8831169	0.43589744
44	0.37109375	0.3173913	0.9480519	0.47557005
45	0.375	0.30454546	0.9054054	0.4557823
46	0.3515625	0.3030303	0.93333334	0.45751637
47	0.34765625	0.2792793	0.89855075	0.42611685
48	0.3671875	0.32327586	0.9375	0.48076925
49	0.375	0.34763947	0.9101124	0.5031056
