	accuracy	precision	recall	f1
0	0.5	inf	0.0	inf
1	0.75	inf	0.0	inf
2	0.625	inf	0.0	inf
3	0.625	inf	0.0	inf
4	0.75	inf	0.0	inf
5	0.75	inf	0.0	inf
6	0.5	inf	0.0	inf
7	0.75	inf	0.0	inf
8	0.875	inf	0.0	inf
9	0.625	inf	0.0	inf
10	0.75	inf	0.0	inf
11	1.0	inf	inf	inf
12	0.75	inf	0.0	inf
13	0.5	inf	0.0	inf
14	0.875	inf	0.0	inf
15	0.5	inf	0.0	inf
16	0.75	inf	0.0	inf
17	1.0	inf	inf	inf
18	1.0	inf	inf	inf
19	0.75	inf	0.0	inf
20	0.5	inf	0.0	inf
21	0.875	inf	0.0	inf
22	1.0	inf	inf	inf
23	0.875	inf	0.0	inf
24	0.75	inf	0.0	inf
25	0.625	inf	0.0	inf
26	0.625	inf	0.0	inf
27	0.875	inf	0.0	inf
28	0.75	inf	0.0	inf
29	0.875	inf	0.0	inf
30	0.75	inf	0.0	inf
31	0.625	inf	0.0	inf
32	0.75	inf	0.0	inf
33	1.0	1.0	1.0	1.0
34	1.0	inf	inf	inf
35	0.75	inf	0.0	inf
36	0.5	inf	0.0	inf
37	0.5	inf	0.0	inf
38	0.75	inf	0.0	inf
39	0.75	inf	0.0	inf
40	0.75	0.5	0.5	0.5
41	0.75	inf	0.0	inf
42	0.75	inf	0.0	inf
43	0.625	inf	0.0	inf
44	0.625	inf	0.0	inf
45	0.75	inf	0.0	inf
46	1.0	inf	inf	inf
47	1.0	inf	inf	inf
48	0.625	inf	0.0	inf
49	0.875	inf	0.0	inf
