	accuracy	precision	recall	f1
0	0.3828125	0.3652174	0.875	0.5153374
1	0.359375	0.33913043	0.8666667	0.4875
2	0.3984375	0.37068966	0.9148936	0.5276074
3	0.4609375	0.44247788	0.89285713	0.591716
4	0.3828125	0.37068966	0.877551	0.5212121
5	0.4296875	0.35514018	0.9047619	0.5100671
6	0.2890625	0.26495728	0.8611111	0.4052288
7	0.3046875	0.26086956	0.88235295	0.40268454
8	0.3515625	0.33913043	0.84782606	0.48447204
9	0.34375	0.31355932	0.925	0.4683544
10	0.359375	0.3275862	0.9047619	0.48101267
11	0.3671875	0.33043477	0.9047619	0.4840764
12	0.34375	0.34166667	0.8913044	0.49397588
13	0.3828125	0.3243243	0.9	0.4768212
14	0.3125	0.27966103	0.9166667	0.42857143
15	0.3125	0.26956522	0.8857143	0.41333336
16	0.3203125	0.28318584	0.84210527	0.42384106
17	0.296875	0.26785713	0.7894737	0.39999998
18	0.2890625	0.25663716	0.8055556	0.38926175
19	0.40625	0.37719297	0.8958333	0.53086424
20	0.3515625	0.3272727	0.8	0.4645161
21	0.3125	0.2792793	0.7948718	0.4133334
22	0.296875	0.25688073	0.7567568	0.3835616
23	0.359375	0.31858408	0.8780488	0.4675325
24	0.3359375	0.28703704	0.7948718	0.42176872
25	0.3984375	0.33027524	0.9	0.4832215
26	0.390625	0.3425926	0.84090906	0.48684207
27	0.3125	0.27966103	0.9166667	0.42857143
28	0.296875	0.25438598	0.85294116	0.39189193
29	0.3984375	0.3392857	0.9268293	0.49673203
30	0.3203125	0.27433628	0.8611111	0.41610736
31	0.296875	0.27027026	0.7692308	0.39999998
32	0.2890625	0.27118644	0.8648649	0.41290325
33	0.328125	0.27192983	0.9117647	0.41891894
34	0.3359375	0.28695652	0.9166667	0.43708614
35	0.359375	0.2972973	0.8918919	0.44594595
36	0.2578125	0.24347825	0.7777778	0.3708609
37	0.3671875	0.3275862	0.9268293	0.48407644
38	0.375	0.3508772	0.8695652	0.5
39	0.34375	0.3482143	0.78	0.4814815
40	0.3203125	0.28070176	0.8648649	0.42384103
41	0.3359375	0.28440368	0.81578946	0.42176872
42	0.34375	0.30701753	0.875	0.45454544
43	0.3046875	0.26495728	0.9117647	0.41059604
44	0.296875	0.2820513	0.84615386	0.42307693
45	0.34375	0.33898306	0.8695652	0.48780483
46	0.296875	0.24545455	0.7941176	0.37499997
47	0.2421875	0.21698113	0.6216216	0.3216783
48	0.3203125	0.30701753	0.81395346	0.44585988
49	0.296875	0.2672414	0.8611111	0.40789476
