	accuracy	precision	recall	f1
0	0.875	inf	0.0	inf
1	0.625	inf	0.0	inf
2	0.75	inf	0.0	inf
3	0.75	inf	0.0	inf
4	0.75	inf	0.0	inf
5	0.75	inf	0.0	inf
6	1.0	1.0	1.0	1.0
7	0.75	inf	0.0	inf
8	0.875	inf	0.0	inf
9	0.75	inf	0.0	inf
10	0.5	0.0	0.0	nan
11	0.625	0.0	0.0	nan
12	0.625	inf	0.0	inf
13	0.625	inf	0.0	inf
14	0.625	inf	0.0	inf
15	0.375	1.0	0.16666667	0.2857143
16	0.5	inf	0.0	inf
17	0.5	inf	0.0	inf
18	0.625	inf	0.0	inf
19	0.5	inf	0.0	inf
20	0.625	1.0	0.25	0.4
21	0.5	inf	0.0	inf
22	0.5	inf	0.0	inf
23	0.375	inf	0.0	inf
24	0.875	inf	0.0	inf
25	0.75	inf	0.0	inf
26	0.625	inf	0.0	inf
27	0.75	0.0	0.0	nan
28	0.375	0.0	0.0	nan
29	0.75	inf	0.0	inf
30	0.75	0.5	0.5	0.5
31	0.375	inf	0.0	inf
32	0.625	inf	0.0	inf
33	0.75	inf	0.0	inf
34	0.75	inf	0.0	inf
35	0.625	inf	0.0	inf
36	0.75	0.0	0.0	nan
37	0.375	inf	0.0	inf
38	0.625	inf	0.0	inf
39	0.75	inf	0.0	inf
40	0.875	inf	0.0	inf
41	0.625	1.0	0.25	0.4
42	0.75	0.0	0.0	nan
43	0.75	0.0	0.0	nan
44	0.625	1.0	0.25	0.4
45	0.625	inf	0.0	inf
46	0.625	0.0	0.0	nan
47	0.75	1.0	0.33333334	0.5
48	0.5	0.0	0.0	nan
49	0.375	0.0	0.0	nan
