	accuracy	precision	recall	f1
0	0.71875	0.5	0.22222222	0.30769232
1	0.65625	0.3846154	0.2631579	0.31250003
2	0.640625	0.45454547	0.22727273	0.30303034
3	0.640625	0.6363636	0.26923078	0.3783784
4	0.640625	0.53846157	0.29166666	0.3783784
5	0.625	0.5555556	0.2	0.29411766
6	0.65625	0.54545456	0.26086956	0.3529412
7	0.5	0.125	0.03846154	0.058823533
8	0.609375	0.5	0.24	0.3243243
9	0.609375	0.4	0.27272728	0.32432434
10	0.625	0.1	0.0625	0.07692308
11	0.59375	0.33333334	0.18181819	0.23529413
12	0.75	0.42857143	0.2	0.27272728
13	0.578125	0.11111111	0.05	0.06896552
14	0.625	0.5	0.16666667	0.25
15	0.625	0.2	0.2	0.20000002
16	0.671875	0.3	0.1764706	0.22222224
17	0.625	0.5714286	0.16	0.24999999
18	0.640625	0.53846157	0.29166666	0.3783784
19	0.703125	0.25	0.05882353	0.0952381
20	0.65625	0.5	0.09090909	0.15384614
21	0.671875	0.25	0.05263158	0.08695652
22	0.65625	0.2	0.125	0.15384616
23	0.515625	0.083333336	0.04761905	0.060606062
24	0.671875	0.41666666	0.2631579	0.32258064
25	0.625	0.30769232	0.21052632	0.25
26	0.640625	0.5	0.17391305	0.2580645
27	0.59375	0.5	0.15384616	0.23529413
28	0.671875	0.4	0.21052632	0.27586207
29	0.78125	0.375	0.25	0.3
30	0.640625	0.25	0.04761905	0.080000006
31	0.671875	0.46153846	0.3	0.36363637
32	0.671875	0.4	0.1	0.16000001
33	0.625	0.2857143	0.0952381	0.14285715
34	0.703125	0.5	0.21052632	0.2962963
35	0.703125	0.375	0.1764706	0.24000002
36	0.671875	0.5	0.0952381	0.16000001
37	0.515625	0.2	0.13636364	0.16216217
38	0.640625	0.2857143	0.1	0.14814815
39	0.6875	0.42857143	0.15789473	0.2307692
40	0.703125	0.5	0.42105263	0.45714286
41	0.578125	0.22222222	0.09090909	0.12903225
42	0.65625	0.4	0.2	0.26666668
43	0.65625	0.44444445	0.1904762	0.26666668
44	0.703125	0.75	0.26086956	0.3870968
45	0.640625	0.3846154	0.25	0.30303028
46	0.71875	0.36363637	0.26666668	0.30769232
47	0.609375	0.4375	0.3043478	0.35897437
48	0.703125	0.33333334	0.1875	0.23999998
49	0.578125	0.09090909	0.055555556	0.06896552
